Location,Updated,WaitTimeInSeconds
VF1,2023-07-20T07:30:00,360
VF2,2023-07-20T07:30:00,250
VF3,2023-07-20T07:30:00,324
VF4,2023-07-20T07:30:00,143
VH3,2023-07-20T07:30:00,120
AF2,2023-07-20T07:45:00,74
AF3,2023-07-20T07:45:00,321
AF4,2023-07-20T07:45:00,60
EF-T,2023-07-20T07:45:00,235
GH-T,2023-07-20T07:45:00,60
NS-S,2023-07-20T07:45:00,580
S-NS,2023-07-20T07:45:00,60
VF0,2023-07-20T07:45:00,60
VF1,2023-07-20T07:45:00,409
VF2,2023-07-20T07:45:00,487
VF3,2023-07-20T07:45:00,344
VF4,2023-07-20T07:45:00,60
VH3,2023-07-20T07:45:00,60
AF2,2023-07-20T08:06:00,219
AF3,2023-07-20T08:06:00,1278
AF4,2023-07-20T08:07:00,300
EF-T,2023-07-20T08:07:00,156
GH-T,2023-07-20T08:06:00,60
NS-S,2023-07-20T08:07:00,1035
S-NS,2023-07-20T08:07:00,60
VF0,2023-07-20T08:07:00,87
VF1,2023-07-20T08:06:00,490
VF2,2023-07-20T08:07:00,847
VF3,2023-07-20T08:07:00,344
VF4,2023-07-20T08:07:00,86
VH3,2023-07-20T08:06:00,60
AF2,2023-07-20T08:26:00,502
AF3,2023-07-20T08:26:00,421
AF4,2023-07-20T08:26:00,97
EF-T,2023-07-20T08:26:00,267
GH-T,2023-07-20T08:26:00,787
NS-S,2023-07-20T08:26:00,903
S-NS,2023-07-20T08:26:00,60
VF0,2023-07-20T08:26:00,84
VF1,2023-07-20T08:26:00,442
VF2,2023-07-20T08:26:00,367
VF3,2023-07-20T08:26:00,520
VF4,2023-07-20T08:26:00,86
VH3,2023-07-20T08:26:00,60
AF2,2023-07-20T08:33:00,793
AF3,2023-07-20T08:33:00,219
AF4,2023-07-20T08:34:00,71
EF-T,2023-07-20T08:33:00,66
GH-T,2023-07-20T08:33:00,296
NS-S,2023-07-20T08:33:00,1125
S-NS,2023-07-20T08:34:00,60
VF0,2023-07-20T08:33:00,213
VF1,2023-07-20T08:33:00,491
VF2,2023-07-20T08:34:00,146
VF3,2023-07-20T08:33:00,476
VF4,2023-07-20T08:33:00,95
VH3,2023-07-20T08:33:00,60
AF2,2023-07-20T08:45:00,702
AF3,2023-07-20T08:45:00,282
AF4,2023-07-20T08:45:00,319
EF-T,2023-07-20T08:45:00,101
GH-T,2023-07-20T08:45:00,60
NS-S,2023-07-20T08:45:00,1155
S-NS,2023-07-20T08:45:00,60
VF0,2023-07-20T08:45:00,60
VF1,2023-07-20T08:45:00,919
VF2,2023-07-20T08:45:00,127
VF3,2023-07-20T08:45:00,537
VF4,2023-07-20T08:45:00,225
VH3,2023-07-20T08:45:00,60
AF2,2023-07-20T09:01:00,780
AF3,2023-07-20T09:01:00,332
AF4,2023-07-20T09:01:00,137
EF-T,2023-07-20T09:01:00,291
GH-T,2023-07-20T08:59:00,60
NS-S,2023-07-20T09:01:00,830
S-NS,2023-07-20T09:01:00,60
VF0,2023-07-20T09:00:00,87
VF1,2023-07-20T09:00:00,1182
VF2,2023-07-20T09:00:00,225
VF3,2023-07-20T08:59:00,857
VF4,2023-07-20T09:00:00,173
VH3,2023-07-20T08:59:00,60
AF2,2023-07-20T09:19:00,598
AF3,2023-07-20T09:19:00,522
AF4,2023-07-20T09:19:00,922
EF-T,2023-07-20T09:19:00,60
GH-T,2023-07-20T09:18:00,60
NS-S,2023-07-20T09:19:00,835
S-NS,2023-07-20T09:19:00,60
VF0,2023-07-20T09:19:00,60
VF1,2023-07-20T09:18:00,1190
VF2,2023-07-20T09:19:00,609
VF3,2023-07-20T09:18:00,404
VF4,2023-07-20T09:18:00,238
VH3,2023-07-20T09:18:00,60
AF2,2023-07-20T09:30:00,604
AF3,2023-07-20T09:30:00,313
AF4,2023-07-20T09:30:00,1721
EF-T,2023-07-20T09:30:00,60
GH-T,2023-07-20T09:30:00,60
NS-S,2023-07-20T09:30:00,486
S-NS,2023-07-20T09:30:00,60
VF0,2023-07-20T09:30:00,60
VF1,2023-07-20T09:30:00,825
VF2,2023-07-20T09:30:00,278
VF3,2023-07-20T09:30:00,350
VF4,2023-07-20T09:30:00,498
VH3,2023-07-20T09:30:00,120
AF2,2023-07-20T09:45:00,663
AF3,2023-07-20T09:45:00,910
AF4,2023-07-20T09:45:00,1399
EF-T,2023-07-20T09:45:00,60
GH-T,2023-07-20T09:45:00,60
NS-S,2023-07-20T09:45:00,197
S-NS,2023-07-20T09:45:00,60
VF0,2023-07-20T09:45:00,60
VF1,2023-07-20T09:45:00,534
VF2,2023-07-20T09:45:00,332
VF3,2023-07-20T09:45:00,341
VF4,2023-07-20T09:45:00,709
VH3,2023-07-20T09:45:00,60
AF2,2023-07-20T10:07:00,947
AF3,2023-07-20T10:07:00,127
AF4,2023-07-20T10:07:00,60
EF-T,2023-07-20T10:07:00,349
GH-T,2023-07-20T10:06:00,60
NS-S,2023-07-20T10:07:00,80
S-NS,2023-07-20T10:07:00,60
VF0,2023-07-20T10:07:00,128
VF1,2023-07-20T10:07:00,506
VF2,2023-07-20T10:07:00,400
VF3,2023-07-20T10:07:00,342
VF4,2023-07-20T10:07:00,543
VH3,2023-07-20T10:07:00,91
AF2,2023-07-20T10:25:00,650
AF3,2023-07-20T10:25:00,60
AF4,2023-07-20T10:25:00,113
EF-T,2023-07-20T10:25:00,472
GH-T,2023-07-20T10:25:00,60
NS-S,2023-07-20T10:25:00,65
S-NS,2023-07-20T10:25:00,60
VF0,2023-07-20T10:25:00,60
VF1,2023-07-20T10:25:00,532
VF2,2023-07-20T10:25:00,344
VF3,2023-07-20T10:25:00,325
VF4,2023-07-20T10:25:00,60
VH3,2023-07-20T10:25:00,60
AF2,2023-07-20T10:31:00,410
AF3,2023-07-20T10:31:00,60
AF4,2023-07-20T10:31:00,104
EF-T,2023-07-20T10:31:00,320
GH-T,2023-07-20T10:31:00,60
NS-S,2023-07-20T10:31:00,132
S-NS,2023-07-20T10:31:00,60
VF0,2023-07-20T10:31:00,80
VF1,2023-07-20T10:31:00,439
VF2,2023-07-20T10:31:00,283
VF3,2023-07-20T10:31:00,0
VF4,2023-07-20T10:31:00,60
VH3,2023-07-20T10:31:00,60
AF2,2023-07-20T10:45:00,424
AF3,2023-07-20T10:45:00,128
AF4,2023-07-20T10:45:00,306
EF-T,2023-07-20T10:45:00,177
GH-T,2023-07-20T10:45:00,60
NS-S,2023-07-20T10:45:00,408
S-NS,2023-07-20T10:45:00,60
VF0,2023-07-20T10:45:00,60
VF1,2023-07-20T10:45:00,407
VF2,2023-07-20T10:45:00,310
VF3,2023-07-20T10:45:00,356
VF4,2023-07-20T10:45:00,204
VH3,2023-07-20T10:45:00,60
AF2,2023-07-20T11:02:00,657
AF3,2023-07-20T11:02:00,331
AF4,2023-07-20T11:02:00,1471
EF-T,2023-07-20T11:02:00,60
GH-T,2023-07-20T11:01:00,60
NS-S,2023-07-20T11:02:00,587
S-NS,2023-07-20T11:02:00,60
VF0,2023-07-20T11:02:00,60
VF1,2023-07-20T11:02:00,491
VF2,2023-07-20T11:02:00,259
VF3,2023-07-20T11:01:00,325
VF4,2023-07-20T11:02:00,60
VH3,2023-07-20T11:02:00,91
AF2,2023-07-20T11:20:00,193
AF3,2023-07-20T11:20:00,60
AF4,2023-07-20T11:20:00,898
EF-T,2023-07-20T11:20:00,60
GH-T,2023-07-20T11:20:00,159
NS-S,2023-07-20T11:20:00,745
S-NS,2023-07-20T11:20:00,60
VF0,2023-07-20T11:20:00,102
VF1,2023-07-20T11:20:00,470
VF2,2023-07-20T11:20:00,232
VF3,2023-07-20T11:20:00,353
VF4,2023-07-20T11:20:00,60
VH3,2023-07-20T11:20:00,91
AF2,2023-07-20T11:30:00,60
AF3,2023-07-20T11:30:00,60
AF4,2023-07-20T11:30:00,559
EF-T,2023-07-20T11:30:00,173
GH-T,2023-07-20T11:30:00,60
NS-S,2023-07-20T11:30:00,600
S-NS,2023-07-20T11:31:00,60
VF0,2023-07-20T11:30:00,60
VF1,2023-07-20T11:30:00,446
VF2,2023-07-20T11:31:00,334
VF3,2023-07-20T11:30:00,391
VF4,2023-07-20T11:30:00,187
VH3,2023-07-20T11:30:00,60
AF2,2023-07-20T11:45:00,267
AF3,2023-07-20T11:45:00,60
AF4,2023-07-20T11:45:00,60
EF-T,2023-07-20T11:45:00,107
GH-T,2023-07-20T11:45:00,60
NS-S,2023-07-20T11:45:00,241
S-NS,2023-07-20T11:45:00,60
VF0,2023-07-20T11:45:00,61
VF1,2023-07-20T11:45:00,734
VF2,2023-07-20T11:45:00,354
VF3,2023-07-20T11:45:00,405
VF4,2023-07-20T11:45:00,110
VH3,2023-07-20T11:45:00,91
AF2,2023-07-20T12:02:00,1128
AF3,2023-07-20T12:02:00,60
AF4,2023-07-20T12:02:00,60
EF-T,2023-07-20T12:02:00,107
GH-T,2023-07-20T12:02:00,60
NS-S,2023-07-20T12:01:00,257
S-NS,2023-07-20T12:02:00,60
VF0,2023-07-20T12:02:00,60
VF1,2023-07-20T12:01:00,531
VF2,2023-07-20T12:02:00,507
VF3,2023-07-20T12:02:00,352
VF4,2023-07-20T12:02:00,76
VH3,2023-07-20T12:02:00,60
AF2,2023-07-20T12:26:00,584
AF3,2023-07-20T12:26:00,113
AF4,2023-07-20T12:26:00,1458
EF-T,2023-07-20T12:26:00,60
GH-T,2023-07-20T12:22:00,108
NS-S,2023-07-20T12:26:00,326
S-NS,2023-07-20T12:26:00,60
VF0,2023-07-20T12:26:00,60
VF1,2023-07-20T12:26:00,786
VF2,2023-07-20T12:26:00,349
VF3,2023-07-20T12:26:00,438
VF4,2023-07-20T12:26:00,326
VH3,2023-07-20T12:26:00,60
AF2,2023-07-20T12:32:00,548
AF3,2023-07-20T12:32:00,103
AF4,2023-07-20T12:32:00,2440
EF-T,2023-07-20T12:32:00,60
GH-T,2023-07-20T12:32:00,63
NS-S,2023-07-20T12:32:00,374
S-NS,2023-07-20T12:32:00,60
VF0,2023-07-20T12:32:00,60
VF1,2023-07-20T12:32:00,884
VF2,2023-07-20T12:32:00,212
VF3,2023-07-20T12:32:00,438
VF4,2023-07-20T12:32:00,117
VH3,2023-07-20T12:32:00,91
AF2,2023-07-20T12:45:00,289
AF3,2023-07-20T12:45:00,60
AF4,2023-07-20T12:45:00,1797
EF-T,2023-07-20T12:45:00,67
GH-T,2023-07-20T12:45:00,60
NS-S,2023-07-20T12:45:00,321
S-NS,2023-07-20T12:45:00,60
VF0,2023-07-20T12:45:00,87
VF1,2023-07-20T12:45:00,568
VF2,2023-07-20T12:45:00,285
VF3,2023-07-20T12:45:00,406
VF4,2023-07-20T12:45:00,204
VH3,2023-07-20T12:45:00,60
AF2,2023-07-20T13:01:00,154
AF3,2023-07-20T13:01:00,60
AF4,2023-07-20T13:01:00,780
EF-T,2023-07-20T13:01:00,60
GH-T,2023-07-20T13:01:00,81
NS-S,2023-07-20T13:01:00,735
S-NS,2023-07-20T13:01:00,60
VF0,2023-07-20T13:01:00,65
VF1,2023-07-20T13:01:00,347
VF2,2023-07-20T13:01:00,230
VF3,2023-07-20T13:01:00,385
VF4,2023-07-20T13:01:00,0
VH3,2023-07-20T13:01:00,60
AF2,2023-07-20T13:17:00,60
AF3,2023-07-20T13:18:00,386
AF4,2023-07-20T13:18:00,60
EF-T,2023-07-20T13:18:00,303
GH-T,2023-07-20T13:17:00,81
NS-S,2023-07-20T13:18:00,502
S-NS,2023-07-20T13:18:00,60
VF0,2023-07-20T13:17:00,150
VF1,2023-07-20T13:17:00,474
VF2,2023-07-20T13:18:00,305
VF3,2023-07-20T13:17:00,247
VF4,2023-07-20T13:17:00,123
VH3,2023-07-20T13:17:00,60
AF2,2023-07-20T13:30:00,132
AF3,2023-07-20T13:30:00,596
AF4,2023-07-20T13:31:00,708
EF-T,2023-07-20T13:30:00,402
GH-T,2023-07-20T13:30:00,60
NS-S,2023-07-20T13:30:00,666
S-NS,2023-07-20T13:30:00,60
VF0,2023-07-20T13:30:00,60
VF1,2023-07-20T13:30:00,638
VF2,2023-07-20T13:30:00,298
VF3,2023-07-20T13:30:00,334
VF4,2023-07-20T13:30:00,152
VH3,2023-07-20T13:30:00,120
AF2,2023-07-20T13:45:00,113
AF3,2023-07-20T13:45:00,333
AF4,2023-07-20T13:45:00,346
EF-T,2023-07-20T13:45:00,60
GH-T,2023-07-20T13:45:00,75
NS-S,2023-07-20T13:45:00,639
S-NS,2023-07-20T13:45:00,60
VF0,2023-07-20T13:45:00,60
VF1,2023-07-20T13:45:00,607
VF2,2023-07-20T13:45:00,194
VF3,2023-07-20T13:45:00,260
VF4,2023-07-20T13:45:00,276
VH3,2023-07-20T13:45:00,60
AF2,2023-07-20T14:09:00,637
AF3,2023-07-20T14:09:00,186
AF4,2023-07-20T14:10:00,4335
EF-T,2023-07-20T14:09:00,136
GH-T,2023-07-20T14:09:00,263
NS-S,2023-07-20T14:09:00,763
S-NS,2023-07-20T14:10:00,60
VF0,2023-07-20T14:09:00,62
VF1,2023-07-20T14:09:00,390
VF2,2023-07-20T14:09:00,63
VF3,2023-07-20T14:09:00,364
VF4,2023-07-20T14:09:00,375
VH3,2023-07-20T14:09:00,60
AF2,2023-07-20T14:41:00,457
AF3,2023-07-20T14:41:00,461
AF4,2023-07-20T14:42:00,1227
EF-T,2023-07-20T14:42:00,171
GH-T,2023-07-20T14:41:00,60
NS-S,2023-07-20T14:42:00,60
S-NS,2023-07-20T14:42:00,60
VF0,2023-07-20T14:41:00,60
VF1,2023-07-20T14:41:00,615
VF2,2023-07-20T14:42:00,147
VF3,2023-07-20T14:41:00,347
VF4,2023-07-20T14:41:00,164
VH3,2023-07-20T14:41:00,60
AF2,2023-07-20T14:58:00,955
AF3,2023-07-20T14:58:00,332
AF4,2023-07-20T14:59:00,1203
EF-T,2023-07-20T14:58:00,86
GH-T,2023-07-20T14:58:00,60
NS-S,2023-07-20T14:58:00,414
S-NS,2023-07-20T14:59:00,60
VF0,2023-07-20T14:58:00,60
VF1,2023-07-20T14:58:00,454
VF2,2023-07-20T14:59:00,131
VF3,2023-07-20T14:58:00,330
VF4,2023-07-20T14:58:00,326
VH3,2023-07-20T14:58:00,60
AF2,2023-07-20T15:16:00,770
AF3,2023-07-20T15:16:00,557
AF4,2023-07-20T15:16:00,1079
EF-T,2023-07-20T15:16:00,60
GH-T,2023-07-20T15:16:00,60
NS-S,2023-07-20T15:16:00,2753
S-NS,2023-07-20T15:16:00,60
VF0,2023-07-20T15:16:00,64
VF1,2023-07-20T15:16:00,464
VF2,2023-07-20T15:16:00,179
VF3,2023-07-20T15:16:00,323
VF4,2023-07-20T15:16:00,143
VH3,2023-07-20T15:15:00,91
AF2,2023-07-20T15:34:00,1024
AF3,2023-07-20T15:34:00,60
AF4,2023-07-20T15:34:00,60
EF-T,2023-07-20T15:34:00,60
GH-T,2023-07-20T15:34:00,750
NS-S,2023-07-20T15:34:00,1082
S-NS,2023-07-20T15:34:00,60
VF0,2023-07-20T15:34:00,60
VF1,2023-07-20T15:34:00,431
VF2,2023-07-20T15:34:00,182
VF3,2023-07-20T15:34:00,357
VF4,2023-07-20T15:34:00,213
VH3,2023-07-20T15:34:00,60
AF2,2023-07-20T15:45:00,399
AF3,2023-07-20T15:45:00,111
AF4,2023-07-20T15:45:00,1178
EF-T,2023-07-20T15:45:00,173
GH-T,2023-07-20T15:45:00,525
NS-S,2023-07-20T15:45:00,535
S-NS,2023-07-20T15:45:00,60
VF0,2023-07-20T15:45:00,104
VF1,2023-07-20T15:45:00,381
VF2,2023-07-20T15:45:00,220
VF3,2023-07-20T15:45:00,353
VF4,2023-07-20T15:45:00,76
VH3,2023-07-20T15:45:00,60
AF2,2023-07-20T16:01:00,174
AF3,2023-07-20T16:01:00,90
AF4,2023-07-20T16:01:00,494
EF-T,2023-07-20T16:01:00,60
GH-T,2023-07-20T16:00:00,60
NS-S,2023-07-20T16:01:00,67
S-NS,2023-07-20T16:01:00,60
VF0,2023-07-20T16:01:00,61
VF1,2023-07-20T16:01:00,476
VF2,2023-07-20T16:01:00,60
VF3,2023-07-20T16:01:00,333
VF4,2023-07-20T16:01:00,60
VH3,2023-07-20T16:01:00,91
AF2,2023-07-20T16:23:00,103
AF3,2023-07-20T16:24:00,60
AF4,2023-07-20T16:24:00,1456
EF-T,2023-07-20T16:24:00,60
GH-T,2023-07-20T16:23:00,60
NS-S,2023-07-20T16:24:00,178
S-NS,2023-07-20T16:24:00,60
VF0,2023-07-20T16:23:00,60
VF1,2023-07-20T16:23:00,369
VF2,2023-07-20T16:24:00,100
VF3,2023-07-20T16:23:00,331
VF4,2023-07-20T16:23:00,60
VH3,2023-07-20T16:23:00,60
AF2,2023-07-20T16:30:00,83
AF3,2023-07-20T16:30:00,60
AF4,2023-07-20T16:30:00,2375
EF-T,2023-07-20T16:30:00,60
GH-T,2023-07-20T16:30:00,60
NS-S,2023-07-20T16:30:00,60
S-NS,2023-07-20T16:30:00,60
VF0,2023-07-20T16:30:00,60
VF1,2023-07-20T16:30:00,544
VF2,2023-07-20T16:30:00,147
VF3,2023-07-20T16:30:00,346
VF4,2023-07-20T16:30:00,453
VH3,2023-07-20T16:30:00,60
AF2,2023-07-20T16:45:00,218
AF3,2023-07-20T16:45:00,60
AF4,2023-07-20T16:45:00,1159
EF-T,2023-07-20T16:45:00,187
GH-T,2023-07-20T16:43:00,60
NS-S,2023-07-20T16:45:00,60
S-NS,2023-07-20T16:45:00,60
VF0,2023-07-20T16:45:00,60
VF1,2023-07-20T16:45:00,425
VF2,2023-07-20T16:45:00,187
VF3,2023-07-20T16:45:00,315
VF4,2023-07-20T16:45:00,215
VH3,2023-07-20T16:45:00,60
AF2,2023-07-20T17:02:00,123
AF3,2023-07-20T17:02:00,153
AF4,2023-07-20T17:02:00,1670
EF-T,2023-07-20T17:02:00,60
GH-T,2023-07-20T17:01:00,60
NS-S,2023-07-20T17:02:00,479
S-NS,2023-07-20T17:02:00,60
VF0,2023-07-20T17:02:00,60
VF1,2023-07-20T17:02:00,376
VF2,2023-07-20T17:02:00,327
VF3,2023-07-20T17:02:00,341
VF4,2023-07-20T17:02:00,92
VH3,2023-07-20T17:02:00,60
AF2,2023-07-20T17:22:00,60
AF3,2023-07-20T17:22:00,345
AF4,2023-07-20T17:22:00,2530
EF-T,2023-07-20T17:22:00,80
GH-T,2023-07-20T17:21:00,60
NS-S,2023-07-20T17:22:00,1007
S-NS,2023-07-20T17:22:00,60
VF0,2023-07-20T17:22:00,95
VF1,2023-07-20T17:22:00,546
VF2,2023-07-20T17:22:00,339
VF3,2023-07-20T17:22:00,249
VF4,2023-07-20T17:22:00,95
VH3,2023-07-20T17:22:00,60
AF2,2023-07-20T17:30:00,63
AF3,2023-07-20T17:30:00,60
AF4,2023-07-20T17:31:00,2174
EF-T,2023-07-20T17:30:00,60
GH-T,2023-07-20T17:29:00,188
NS-S,2023-07-20T17:30:00,1045
S-NS,2023-07-20T17:30:00,60
VF0,2023-07-20T17:30:00,68
VF1,2023-07-20T17:30:00,375
VF2,2023-07-20T17:30:00,293
VF3,2023-07-20T17:30:00,327
VF4,2023-07-20T17:30:00,81
VH3,2023-07-20T17:30:00,60
AF2,2023-07-20T17:45:00,62
AF3,2023-07-20T17:45:00,60
AF4,2023-07-20T17:45:00,1568
EF-T,2023-07-20T17:45:00,78
GH-T,2023-07-20T17:45:00,60
NS-S,2023-07-20T17:45:00,448
S-NS,2023-07-20T17:45:00,60
VF0,2023-07-20T17:45:00,85
VF1,2023-07-20T17:45:00,505
VF2,2023-07-20T17:45:00,273
VF3,2023-07-20T17:45:00,326
VF4,2023-07-20T17:45:00,60
VH3,2023-07-20T17:45:00,60
AF2,2023-07-20T18:05:00,64
AF3,2023-07-20T18:05:00,640
AF4,2023-07-20T18:05:00,582
EF-T,2023-07-20T18:05:00,188
GH-T,2023-07-20T18:05:00,60
NS-S,2023-07-20T18:05:00,310
S-NS,2023-07-20T18:05:00,60
VF0,2023-07-20T18:05:00,60
VF1,2023-07-20T18:05:00,339
VF2,2023-07-20T18:05:00,203
VF3,2023-07-20T18:05:00,369
VF4,2023-07-20T18:05:00,60
VH3,2023-07-20T18:05:00,60
AF2,2023-07-20T18:27:00,60
AF3,2023-07-20T18:28:00,93
AF4,2023-07-20T18:28:00,60
EF-T,2023-07-20T18:27:00,60
GH-T,2023-07-20T18:27:00,60
NS-S,2023-07-20T18:28:00,295
S-NS,2023-07-20T18:28:00,60
VF0,2023-07-20T18:27:00,91
VF1,2023-07-20T18:27:00,592
VF2,2023-07-20T18:27:00,190
VF3,2023-07-20T18:27:00,348
VF4,2023-07-20T18:27:00,70
VH3,2023-07-20T18:27:00,60
AF2,2023-07-20T18:36:00,60
AF3,2023-07-20T18:36:00,112
AF4,2023-07-20T18:36:00,60
EF-T,2023-07-20T18:36:00,60
GH-T,2023-07-20T18:36:00,60
NS-S,2023-07-20T18:36:00,833
S-NS,2023-07-20T18:36:00,60
VF0,2023-07-20T18:36:00,60
VF1,2023-07-20T18:36:00,586
VF2,2023-07-20T18:36:00,241
VF3,2023-07-20T18:36:00,358
VF4,2023-07-20T18:36:00,94
VH3,2023-07-20T18:36:00,60
AF2,2023-07-20T18:45:00,60
AF3,2023-07-20T18:45:00,675
AF4,2023-07-20T18:45:00,60
EF-T,2023-07-20T18:45:00,60
GH-T,2023-07-20T18:45:00,60
NS-S,2023-07-20T18:45:00,552
S-NS,2023-07-20T18:45:00,60
VF0,2023-07-20T18:45:00,60
VF1,2023-07-20T18:45:00,666
VF2,2023-07-20T18:45:00,251
VF3,2023-07-20T18:45:00,346
VF4,2023-07-20T18:45:00,120
VH3,2023-07-20T18:45:00,60
AF2,2023-07-20T19:02:00,521
AF3,2023-07-20T19:02:00,102
AF4,2023-07-20T19:02:00,1291
EF-T,2023-07-20T19:02:00,60
GH-T,2023-07-20T19:02:00,60
NS-S,2023-07-20T19:02:00,616
S-NS,2023-07-20T19:02:00,60
VF0,2023-07-20T19:02:00,60
VF1,2023-07-20T19:02:00,1104
VF2,2023-07-20T19:02:00,924
VF3,2023-07-20T19:02:00,350
VF4,2023-07-20T19:02:00,287
VH3,2023-07-20T19:02:00,60
AF2,2023-07-20T19:21:00,60
AF3,2023-07-20T19:22:00,2267
AF4,2023-07-20T19:22:00,3031
EF-T,2023-07-20T19:22:00,286
GH-T,2023-07-20T19:21:00,60
NS-S,2023-07-20T19:22:00,88
S-NS,2023-07-20T19:22:00,60
VF0,2023-07-20T19:21:00,544
VF1,2023-07-20T19:21:00,835
VF2,2023-07-20T19:22:00,364
VF3,2023-07-20T19:21:00,434
VF4,2023-07-20T19:21:00,391
VH3,2023-07-20T19:21:00,120
AF2,2023-07-20T19:30:00,78
AF3,2023-07-20T19:30:00,3019
AF4,2023-07-20T19:30:00,2891
EF-T,2023-07-20T19:30:00,60
GH-T,2023-07-20T19:30:00,60
NS-S,2023-07-20T19:30:00,512
S-NS,2023-07-20T19:30:00,60
VF0,2023-07-20T19:30:00,265
VF1,2023-07-20T19:30:00,662
VF2,2023-07-20T19:30:00,366
VF3,2023-07-20T19:30:00,641
VF4,2023-07-20T19:30:00,458
VH3,2023-07-20T19:30:00,60
AF2,2023-07-20T19:45:00,1099
AF3,2023-07-20T19:45:00,1543
AF4,2023-07-20T19:45:00,1689
EF-T,2023-07-20T19:45:00,60
GH-T,2023-07-20T19:45:00,60
NS-S,2023-07-20T19:45:00,60
S-NS,2023-07-20T19:45:00,60
VF0,2023-07-20T19:45:00,60
VF1,2023-07-20T19:45:00,384
VF2,2023-07-20T19:45:00,800
VF3,2023-07-20T19:45:00,362
VF4,2023-07-20T19:45:00,262
VH3,2023-07-20T19:45:00,60
AF2,2023-07-20T20:06:00,242
AF3,2023-07-20T20:06:00,397
AF4,2023-07-20T20:06:00,248
EF-T,2023-07-20T20:06:00,60
GH-T,2023-07-20T20:06:00,60
NS-S,2023-07-20T20:06:00,119
S-NS,2023-07-20T20:06:00,60
VF0,2023-07-20T20:06:00,60
VF1,2023-07-20T20:06:00,229
VF2,2023-07-20T20:06:00,595
VF3,2023-07-20T20:06:00,174
VF4,2023-07-20T20:06:00,107
VH3,2023-07-20T20:05:00,60
AF2,2023-07-20T20:26:00,517
AF3,2023-07-20T20:26:00,385
AF4,2023-07-20T20:26:00,881
EF-T,2023-07-20T20:26:00,60
GH-T,2023-07-20T20:26:00,60
NS-S,2023-07-20T20:26:00,157
S-NS,2023-07-20T20:26:00,60
VF0,2023-07-20T20:26:00,60
VF1,2023-07-20T20:26:00,191
VF2,2023-07-20T20:26:00,60
VF3,2023-07-20T20:26:00,211
VF4,2023-07-20T20:26:00,393
VH3,2023-07-20T20:26:00,60
AF2,2023-07-20T20:33:00,696
AF3,2023-07-20T20:33:00,113
AF4,2023-07-20T20:33:00,573
EF-T,2023-07-20T20:33:00,60
GH-T,2023-07-20T20:33:00,60
NS-S,2023-07-20T20:33:00,60
S-NS,2023-07-20T20:33:00,60
VF0,2023-07-20T20:33:00,60
VF1,2023-07-20T20:33:00,252
VF2,2023-07-20T20:33:00,60
VF3,2023-07-20T20:32:00,149
VF4,2023-07-20T20:33:00,372
VH3,2023-07-20T20:33:00,60
AF2,2023-07-20T20:45:00,60
AF3,2023-07-20T20:45:00,60
AF4,2023-07-20T20:45:00,97
EF-T,2023-07-20T20:45:00,62
GH-T,2023-07-20T20:45:00,60
NS-S,2023-07-20T20:45:00,75
S-NS,2023-07-20T20:45:00,60
VF0,2023-07-20T20:45:00,60
VF1,2023-07-20T20:45:00,284
VF2,2023-07-20T20:45:00,60
VF3,2023-07-20T20:45:00,318
VF4,2023-07-20T20:45:00,230
VH3,2023-07-20T20:44:00,60
AF2,2023-07-20T21:00:00,96
AF3,2023-07-20T21:01:00,60
AF4,2023-07-20T21:01:00,580
EF-T,2023-07-20T21:01:00,60
GH-T,2023-07-20T21:01:00,60
NS-S,2023-07-20T21:01:00,60
S-NS,2023-07-20T21:01:00,60
VF0,2023-07-20T21:00:00,60
VF1,2023-07-20T21:01:00,260
VF2,2023-07-20T21:01:00,60
VF3,2023-07-20T21:00:00,180
VF4,2023-07-20T21:01:00,0
VH3,2023-07-20T21:01:00,60
AF2,2023-07-20T21:16:00,60
AF3,2023-07-20T21:16:00,106
AF4,2023-07-20T21:16:00,1022
EF-T,2023-07-20T21:16:00,60
GH-T,2023-07-20T21:16:00,60
NS-S,2023-07-20T21:16:00,144
S-NS,2023-07-20T21:16:00,60
VF0,2023-07-20T21:16:00,60
VF1,2023-07-20T21:16:00,253
VF2,2023-07-20T21:16:00,61
VF3,2023-07-20T21:16:00,309
VF4,2023-07-20T21:16:00,143
VH3,2023-07-20T21:16:00,60
AF2,2023-07-20T21:30:00,60
AF3,2023-07-20T21:30:00,60
AF4,2023-07-20T21:30:00,418
EF-T,2023-07-20T21:30:00,60
GH-T,2023-07-20T21:30:00,60
NS-S,2023-07-20T21:30:00,60
S-NS,2023-07-20T21:30:00,60
VF0,2023-07-20T21:30:00,60
VF1,2023-07-20T21:30:00,244
VF2,2023-07-20T21:30:00,60
VF3,2023-07-20T21:30:00,231
VF4,2023-07-20T21:29:00,126
VH3,2023-07-20T21:30:00,60
AF2,2023-07-20T21:45:00,701
AF3,2023-07-20T21:45:00,60
AF4,2023-07-20T21:45:00,2324
EF-T,2023-07-20T21:45:00,1040
GH-T,2023-07-20T21:44:00,60
NS-S,2023-07-20T21:45:00,60
S-NS,2023-07-20T21:45:00,76
VF0,2023-07-20T21:45:00,60
VF1,2023-07-20T21:45:00,164
VF2,2023-07-20T21:45:00,60
VF3,2023-07-20T21:45:00,273
VF4,2023-07-20T21:45:00,60
VH3,2023-07-20T21:45:00,60
AF2,2023-07-20T22:02:00,595
AF3,2023-07-20T22:02:00,60
