Location,Updated,WaitTimeInSeconds
VF2,2023-07-12T01:02:00,0
VF3,2023-07-12T01:02:00,0
VF4,2023-07-12T01:02:00,0
VH3,2023-07-12T01:02:00,91
AF2,2023-07-12T01:22:00,403
AF3,2023-07-12T01:22:00,60
EF-T,2023-07-12T01:22:00,60
GH-T,2023-07-12T01:22:00,60
NS-S,2023-07-12T01:22:00,62
S-NS,2023-07-12T01:22:00,166
VF0,2023-07-12T01:22:00,60
VF1,2023-07-12T01:22:00,91
VF2,2023-07-12T01:22:00,60
VF3,2023-07-12T01:22:00,60
VF4,2023-07-12T01:22:00,60
VH3,2023-07-12T01:22:00,91
AF2,2023-07-12T01:30:00,275
AF3,2023-07-12T01:30:00,60
EF-T,2023-07-12T01:31:00,60
GH-T,2023-07-12T01:30:00,60
NS-S,2023-07-12T01:31:00,60
S-NS,2023-07-12T01:31:00,189
VF0,2023-07-12T01:30:00,60
VF1,2023-07-12T01:30:00,108
VF2,2023-07-12T01:31:00,60
VF3,2023-07-12T01:30:00,60
VF4,2023-07-12T01:30:00,60
VH3,2023-07-12T01:30:00,120
AF2,2023-07-12T01:45:00,60
AF3,2023-07-12T01:45:00,60
EF-T,2023-07-12T01:45:00,60
GH-T,2023-07-12T01:45:00,60
NS-S,2023-07-12T01:45:00,60
S-NS,2023-07-12T01:45:00,103
VF0,2023-07-12T01:45:00,60
VF1,2023-07-12T01:45:00,62
VF2,2023-07-12T01:45:00,60
VF3,2023-07-12T01:45:00,60
VF4,2023-07-12T01:45:00,60
VH3,2023-07-12T01:45:00,91
AF2,2023-07-12T02:37:00,60
AF3,2023-07-12T02:37:00,60
EF-T,2023-07-12T02:37:00,60
GH-T,2023-07-12T02:37:00,0
NS-S,2023-07-12T02:37:00,60
S-NS,2023-07-12T02:37:00,177
VF0,2023-07-12T02:37:00,60
VF1,2023-07-12T02:37:00,103
VF2,2023-07-12T02:37:00,60
VF3,2023-07-12T02:37:00,172
VF4,2023-07-12T02:37:00,60
VH3,2023-07-12T02:37:00,120
AF2,2023-07-12T04:16:00,60
AF3,2023-07-12T04:16:00,60
EF-T,2023-07-12T04:16:00,60
GH-T,2023-07-12T04:16:00,0
NS-S,2023-07-12T04:16:00,60
S-NS,2023-07-12T04:16:00,60
VF0,2023-07-12T04:16:00,60
VF1,2023-07-12T04:16:00,279
VF2,2023-07-12T04:16:00,60
VF3,2023-07-12T04:16:00,326
VF4,2023-07-12T04:16:00,60
VH3,2023-07-12T04:16:00,60
AF2,2023-07-12T05:05:00,60
AF3,2023-07-12T05:05:00,60
EF-T,2023-07-12T05:05:00,60
GH-T,2023-07-12T05:05:00,60
NS-S,2023-07-12T05:05:00,158
S-NS,2023-07-12T05:05:00,131
VF0,2023-07-12T05:05:00,60
VF1,2023-07-12T05:05:00,288
VF2,2023-07-12T05:05:00,77
VF3,2023-07-12T05:05:00,372
VF4,2023-07-12T05:05:00,602
VH3,2023-07-12T05:05:00,60
AF2,2023-07-12T05:31:00,113
AF3,2023-07-12T05:31:00,60
EF-T,2023-07-12T05:31:00,585
GH-T,2023-07-12T05:31:00,60
NS-S,2023-07-12T05:31:00,230
S-NS,2023-07-12T05:31:00,60
VF0,2023-07-12T05:31:00,239
VF1,2023-07-12T05:31:00,425
VF2,2023-07-12T05:31:00,348
VF3,2023-07-12T05:31:00,288
VF4,2023-07-12T05:31:00,281
VH3,2023-07-12T05:31:00,60
AF2,2023-07-12T05:45:00,174
AF3,2023-07-12T05:45:00,60
EF-T,2023-07-12T05:45:00,60
GH-T,2023-07-12T05:45:00,60
NS-S,2023-07-12T05:45:00,513
S-NS,2023-07-12T05:45:00,60
VF0,2023-07-12T05:45:00,77
VF1,2023-07-12T05:45:00,393
VF2,2023-07-12T05:45:00,245
VF3,2023-07-12T05:45:00,361
VF4,2023-07-12T05:45:00,212
VH3,2023-07-12T05:45:00,60
AF2,2023-07-12T06:06:00,807
AF3,2023-07-12T06:06:00,60
EF-T,2023-07-12T06:06:00,240
GH-T,2023-07-12T06:06:00,60
NS-S,2023-07-12T06:06:00,1936
